Frequency,Aufnahme_7_LFP_Gpi_L_02_20200115083757,Aufnahme_7_LFP_Gpi_R_02_20200115083757,Aufnahme_8_LFP_Gpi_L_02_20200115083914,Aufnahme_8_LFP_Gpi_R_02_20200115083914
54.69,0.335492736426515,0.443382471048257,0.335492736426515,0.443382471048257
55.66,0.335492736426515,0.443382471048257,0.335492736426515,0.443382471048257
56.64,0.335492736426515,0.443382471048257,0.335492736426515,0.443382471048257
57.62,0.223661824284343,0.332536853286193,0.335492736426515,0.443382471048257
58.59,0.223661824284343,0.443382471048257,0.223661824284343,0.443382471048257
59.57,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
60.55,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
61.52,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
62.5,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
63.48,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
64.45,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
65.43,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
66.41,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
67.38,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
68.36,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
69.34,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
70.31,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
71.29,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
72.27,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
73.24,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
74.22,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
75.2,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
76.17,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
77.15,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
78.13,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
79.1,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
80.08,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
81.05,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
82.03,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
83.01,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
83.98,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
84.96,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
85.94,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
86.91,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
87.89,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
88.87,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
89.84,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
90.82,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
91.8,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
92.77,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
93.75,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
94.73,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
95.7,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
96.68,-0.111830912142172,-0.110845617762064,-0.111830912142172,-0.110845617762064
